subject,trial,stim,picture,response,reactiontime,correct,spaced,stimvalue,feedback,reward,repetition,trialonset
301,37,5,125,1,1.291511101,1,1,2,0,-0.09,9,107.2571396
301,38,5,125,2,1.06184962,0,1,2,2,0.05,10,112.2466421
301,39,4,101,2,1.473677162,1,1,0,0,-0.02,10,119.4722993
301,40,2,103,1,1.894601264,0,1,0,0,-0.23,10,125.6456694
301,41,1,121,2,1.47908284,0,1,1,1,-0.07,10,2.040209497
301,42,3,133,1,1.607725061,1,1,1,1,0.21,2,8.067854202
301,43,3,133,1,0.746777076,1,1,1,1,0.2,3,15.89333742
301,44,3,133,1,0.717974206,1,1,1,1,0.22,4,22.06703946
301,45,7,122,1,1.508650295,1,1,2,2,0.41,1,27.2053357
301,46,7,122,1,0.732242827,1,1,2,2,0.41,2,33.52949763
301,47,7,122,1,0.554631499,1,1,2,2,0.44,3,39.70323179
301,48,6,116,1,1.584967992,0,1,0,0,-0.27,1,45.72613419
301,49,6,116,2,0.460130052,1,1,0,0,0.02,2,51.01539565
301,50,6,116,2,0.498675003,1,1,0,0,-0.01,3,57.18914025
301,51,8,129,1,1.098362292,0,1,0,0,-0.2,1,64.86517256
301,52,8,129,2,0.3412016,1,1,0,0,-0.02,2,71.78901912
301,53,8,129,2,0.53837259,1,1,0,0,0,3,77.67898496
301,54,6,116,1,1.192350965,0,1,0,-1,0.04,4,82.96772839
301,55,3,133,1,0.809714619,1,1,1,0,-0.09,5,88.70817884
301,56,7,122,1,0.829211499,1,1,2,0,-0.09,4,94.14748253
301,57,6,116,2,1.243098934,1,1,0,0,-0.05,5,100.0376204
301,58,8,129,2,1.457241899,1,1,0,-1,-0.25,4,106.8117209
301,59,8,129,1,0.758459069,0,1,0,0,-0.24,5,112.5512452
301,60,7,122,1,1.158874082,1,1,2,2,0.46,5,120.0762787
301,61,3,133,1,0.526241903,1,1,1,0,-0.1,6,2.037796687
301,62,6,116,2,1.754911738,1,1,0,0,0,6,8.815679037
301,63,7,122,1,1.214786869,1,1,2,0,-0.05,6,15.2893195
301,64,8,129,2,1.497543525,1,1,0,0,-0.03,6,20.87889249
301,65,3,133,1,0.850637164,1,1,1,1,0.27,7,28.25314881
301,66,7,122,2,1.221980789,0,1,2,2,0.01,7,35.17822404
301,67,8,129,2,0.991979073,1,1,0,0,-0.01,7,41.65540704
301,68,6,116,2,1.197545785,1,1,0,-1,-0.25,7,48.12647276
301,69,3,133,1,0.71072221,1,1,1,0,-0.05,8,55.80063758
301,70,7,122,1,1.000912759,1,1,2,2,0.48,8,61.24064628
301,71,6,116,2,1.26967442,1,1,0,0,0.01,8,67.41482102
301,72,3,133,1,0.719059717,1,1,1,1,0.28,9,73.88789136
301,73,6,116,1,1.256760803,0,1,0,-1,0.04,9,80.21215727
301,74,8,129,2,1.213302803,1,1,0,-1,-0.26,8,87.58609387
301,75,7,122,1,1.030840015,1,1,2,0,-0.01,9,94.51110688
301,76,3,133,1,0.700647351,1,1,1,1,0.3,10,102.1858299
301,77,8,129,1,1.852824485,0,1,0,0,-0.24,9,109.7110981
301,78,6,116,1,0.556272134,0,1,0,0,-0.22,10,116.4849094
301,79,7,122,2,1.332861343,0,1,2,2,0.03,10,124.0122083
301,80,8,129,1,1.338442366,0,1,0,-1,-0.03,10,129.0002864
119,1,5,106,1,0.906834351,1,1,2,2,0.41,1,2.087271669
119,2,5,106,1,0.864457005,1,1,2,2,0.49,2,9.701232951
119,3,2,126,1,0.937884256,0,1,0,0,-0.22,1,17.63893973
119,4,2,126,2,0.818027261,1,1,0,0,-0.02,2,22.70886547
119,5,2,126,2,0.947128083,1,1,0,-1,-0.25,3,28.54612653
119,6,5,106,1,1.281528414,1,1,2,2,0.41,3,34.21632086
119,7,5,106,1,1.09500142,1,1,2,0,-0.01,4,39.88635986
119,8,4,122,1,1.950493762,0,1,0,0,-0.28,1,45.55724098
119,9,4,122,2,1.292591168,1,1,0,0,-0.02,2,51.52783971
119,10,1,135,1,1.394990353,1,1,1,1,0.25,1,58.39652383
119,11,1,135,1,1.209712652,1,1,1,1,0.22,2,64.10248007
119,12,1,135,1,1.119725178,1,1,1,0,-0.01,3,69.50597706
119,13,4,122,-1,NaN,NaN,1,0,-1,-0.5,3,74.90956075
119,14,4,122,2,1.083749844,1,1,0,0,0.02,4,81.07971586
119,15,1,135,1,0.972121854,1,1,1,1,0.23,4,87.98480796
119,16,2,126,1,1.16426954,0,1,0,0,-0.23,4,93.08836667
119,17,1,135,1,0.816583037,1,1,1,1,0.24,5,100.2601048
119,18,4,122,2,1.493214715,1,1,0,-1,-0.21,5,105.930319
119,19,5,106,1,1.067212341,1,1,2,2,0.47,5,113.4347368
119,20,2,126,1,1.193940208,0,1,0,-1,-0.04,5,119.1370112
119,21,2,126,1,1.401418973,0,1,0,0,-0.23,6,2.088666498
119,22,3,105,1,1.201735203,1,1,1,1,0.29,1,9.232142789
119,23,4,122,1,1.436107612,0,1,0,0,-0.26,6,16.43951068
119,24,5,106,1,1.269036117,1,1,2,0,-0.01,6,22.4423444
119,25,1,135,1,1.672197972,1,1,1,0,0,6,30.11399041
119,26,4,122,1,1.514384206,0,1,0,0,-0.24,7,37.02158958
119,27,5,106,1,0.885954247,1,1,2,2,0.47,7,43.29013935
119,28,1,135,1,1.103043629,1,1,1,1,0.24,7,48.69430045
119,29,2,126,2,1.017865881,1,1,0,0,0.03,7,55.16364404
119,30,1,135,1,1.02185162,1,1,1,1,0.27,8,60.26709023
119,31,5,106,1,0.820530519,1,1,2,2,0.44,8,67.77332844
119,32,4,122,1,1.366333428,0,1,0,-1,0,8,75.76461653
119,33,2,126,2,1.791888433,1,1,0,0,-0.01,8,83.44908064
119,34,1,135,1,1.842280018,1,1,1,0,-0.01,9,89.7541609
119,35,2,126,2,1.7004514,1,1,0,-1,-0.27,9,94.75825441
119,36,4,122,1,1.904603378,0,1,0,0,-0.3,9,101.7955648
119,37,5,106,1,0.789116871,1,1,2,0,-0.03,9,109.300309
119,38,5,106,1,0.96545134,1,1,2,2,0.49,10,114.4033914
119,39,4,122,1,1.110783813,0,1,0,0,-0.27,10,121.7728802
119,40,2,126,2,0.914785827,1,1,0,0,-0.05,10,128.0792144
119,41,1,135,1,1.174072894,1,1,1,1,0.25,10,2.06836564
119,42,3,105,1,1.234630677,1,1,1,1,0.3,2,8.181240066
119,43,3,105,1,0.95263331,1,1,1,1,0.25,3,16.15277123
119,44,3,105,1,0.676597697,1,1,1,1,0.21,4,22.45749111
119,45,7,116,1,1.501664048,1,1,2,2,0.47,1,27.72768131
119,46,7,116,1,0.553233518,1,1,2,2,0.43,2,34.19867562
119,47,7,116,1,0.916101285,1,1,2,2,0.46,3,40.50215875
119,48,6,125,1,1.554964943,0,1,0,0,-0.24,1,46.67250506
119,49,6,125,2,0.515005031,1,1,0,0,0.01,2,52.07666932
119,50,6,125,2,0.947120847,1,1,0,0,-0.05,3,58.38091512
119,51,8,111,1,1.109255817,0,1,0,0,-0.24,1,66.18494529
119,52,8,111,2,0.71322344,1,1,0,0,0.04,2,73.25735694
119,53,8,111,2,0.781376268,1,1,0,0,0.03,3,79.26179531
119,54,6,125,2,1.218630835,1,1,0,-1,-0.25,4,84.66486594
119,55,3,105,1,1.033157388,1,1,1,0,-0.07,5,90.53464894
